SARL_v60h4k6xm9,SARL_v63vmvzctf,SARL_v646shwf11,SARL_v65sf7npah,SARL_v67aa64utj,SARL_v68f0quk5p,SARL_v6a4ndkf8v,SARL_v6aj88rev9,SARL_v6evvdhzk7,SARL_v6f933l72m,SARL_v6ftpqxgnv,SARL_v6gnqw5ox5,SARL_v6j50z1e9w,SARL_v6k3hhcfwz,SARL_v6k5sw88ad,SARL_v6ktf02s20,SARL_v6kya2dxyh,SARL_v6lgpkenjy,SARL_v6n4gu2b5u,SARL_v6nat83vj0,SARL_v6ne1kg4lj,SARL_v6nw0j2uax,SARL_v6o7dfb9xv,SARL_v6ps9ech69,SARL_v6rt2s4yzx,SARL_v6tg11awsr,SARL_v6uxzaglpt,SARL_v6vxrt8tgj,SARL_v6xuywyznv,SARL_v6yyllsbjc
-3.19E-63,0.536953251,-0.999898062,0.316172013,-0.90875197,-0.743437588,0.369991774,0.486103828,0.274804697,0.690388061,0.231506025,7.46E-07,-0.590262808,0.024013266,0.292315435,0.50832499,0.489976813,0.002817485,-1,-0.493621691,0.382624337,0.118594222,0.000149942,0.584653447,0.467266119,-0.492555888,-0.000818264,0.015193462,1,-0.504243711
1,0.524561998,-0.103216542,-0.840243159,-0.622408429,-0.633772858,-0.653145009,0.498413568,0.254078235,-0.768241686,-0.800276463,3.14E-07,0.47426933,0.959513418,0.255897273,0.527090584,0.480162982,0.978591295,-0.008680342,0.523905895,-0.634426727,-0.943606722,-0.99991472,-0.437672275,0.5407295,0.51083882,0.18755009,-0.993942527,4.76E-09,-0.339570348
1.54E-08,-0.52891218,0.990443045,-0.424561906,-0.426290413,-0.540284809,0.629364129,0.496493031,-0.765084985,-0.257893217,-0.690409876,-0.999999868,0.424079426,0.439610581,-0.775983727,NaN,0.473403525,0.144741664,0.999999352,-0.494697026,0.469146885,0.961641326,-0.070023171,-0.380615145,-0.549228187,-0.492681895,-0.95432298,0.980818605,-1,-0.228675179
2.22E-16,-0.516706491,-0.897759472,-0.214524581,0.928860213,-0.460587214,-0.612301737,0.494579894,-0.707380349,-0.086572901,-0.595626411,0.994652112,-0.586224876,0.201411944,-0.679307679,0.512269804,0.466739223,0.021408477,0.008680337,0.524978919,0.448240078,0.457274439,0.960174208,0.63391912,-0.529840652,-0.489286318,0.999800715,0.391042038,-4.76E-09,-0.151434881
0,0.512456698,-0.010654741,-0.108395961,NaN,0.670738668,-0.574012527,0.49267413,-0.654027943,-0.029061901,-0.322910633,-0.421394788,0.428019244,0.092278878,-0.594676031,-0.502134244,-0.539831263,0.003166489,-0.999924652,0.506337897,0.42826495,0.217440647,0.546100643,-0.390287873,-0.51113749,-0.485914143,0.243497174,0.155904338,-2.26E-17,-0.153995595
-1,-0.504782472,-0.001099858,-0.054770807,0.636180658,0.57179778,0.590007953,0.490775708,0.39530049,0.96217146,0.486144632,0.419141272,-0.582380788,0.042278482,0.731989517,0.511984811,0.46776817,0.00046835,-7.53E-05,0.488358782,0.409179983,0.103396191,-0.689404371,0.624615757,0.506905459,-0.48256521,-0.232421267,0.062157416,1,-0.103704492
0.999999985,-0.499369249,-0.000113535,-0.027674844,-0.564276923,0.487451696,-0.538117666,-0.511115398,-0.634514067,NaN,0.721420408,0.176623971,-0.568230072,-0.980629694,0.479411771,NaN,-0.516920798,-0.999930727,-0.008679688,-0.528981927,0.390945509,0.049166393,0.607900142,0.600764024,0.489011899,-0.479207646,0.059302692,0.024781506,4.76E-09,-0.069837203
-1,0.512154679,0.907326925,0.986016328,0.613524124,-0.584452469,-0.504467426,0.490854083,-0.58665742,0.322994049,0.419403882,0.074428431,0.462745511,0.550714788,NaN,0.497588777,-0.5388168,-0.999583271,-6.54E-07,0.489801234,0.373523625,0.023379335,-0.568703124,0.577823099,0.471749975,0.524095067,0.014442916,0.009880125,-1,0.898019957
1.54E-08,-0.499664298,0.093660695,0.498218839,0.420205512,0.501760313,-0.472921444,0.488962675,-0.458314234,0.108426783,-0.638174312,-0.177573591,-0.55442319,0.252315437,-0.359205506,-0.505968138,0.468768352,-0.147846549,0.999924657,-0.527590694,-0.643121879,0.011117214,0.345744195,0.579040787,-0.54490261,-0.479517011,-0.99648249,-0.396274407,NaN,0.604749137
NaN,0.511866439,0.009668319,0.251742293,0.287800699,-0.572254521,-0.443348135,0.487078555,-0.423747021,0.036398092,-0.377620363,0.031363757,0.451501698,-0.884399182,-0.580315816,-0.491741281,0.462169301,-0.14789794,0.008679688,-0.477131258,0.385537855,0.005286397,-0.323450827,-0.443070609,-0.525667766,-0.476212167,0.757310965,-0.996060898,0.999999995,0.40725322
